song_id;title;genre;Рік запису;Хто записав;Місце запису;Респондент;Вік респондента/рік народження
3.17_Dmytrenko, Dovzhenok, Hrytsa_2009_Thoughts of the early Cossack period;ПРО ДІВКУ-БРАНКУ МАРУСЮ БОГУСЛАВКУ;дума;;;;Гребень А.;1877 р.
3.18_Dmytrenko, Dovzhenok, Hrytsa_2009_Thoughts of the early Cossack period;ПРО МАРУСЮ БОГУСЛАВКУ;дума;1987 р.;Грица С.;м. Київ;Ткаченко Г.;1898 р.
4.1_Dmytrenko, Dovzhenok, Hrytsa_2009_Thoughts of the early Cossack period;ИВАНЪ БОГОСЛАВЕЦЪ, ГЕТМАНЪ ЗАПОРОЖСКІЙЪ;дума;поч. ХІХ ст.;Ломиковський В.;Полтавщина;кобзар Іван;
4.2_Dmytrenko, Dovzhenok, Hrytsa_2009_Thoughts of the early Cossack period;ИВАНЪ БОГАСЛАВЪ. НЕВОЛЬНЫЦЬКА;дума;29 травня 1892 р.;Мартинович П.;Миколаївка;Кобиланка О. (стихивнича);
4.3_Dmytrenko, Dovzhenok, Hrytsa_2009_Thoughts of the early Cossack period;ИВАНА БОГОСЛАВЦЯ ПИСЬНЯ;дума;1901-1904 рр.;Мартинович П.;м. Костянтиноград (нині Красноград), Красноградського району Харківської області;Бондаренко М. (Бондаренчиха, Гнатиха);
4.4_Dmytrenko, Dovzhenok, Hrytsa_2009_Thoughts of the early Cossack period;ИВАСЬ БОГУСЛАВЕЦЬ;дума;1932 р. ;Мартинович П.;;Жадан Т.;
4.1дод_Dmytrenko, Dovzhenok, Hrytsa_2009_Thoughts of the early Cossack period;ИВАНЪ БОГУСЛАВЕЦЬ. ОСВОБОЖДЕН ТУРЧАНКОЮ;дума;1859 р.;Ніс С.;;"""Жук""";
4.2дод_Dmytrenko, Dovzhenok, Hrytsa_2009_Thoughts of the early Cossack period;ІВАН БОГУСЛАВЕЦЬ;дума;;Ніс С.;;"""Жук""";
4.3дод_Dmytrenko, Dovzhenok, Hrytsa_2009_Thoughts of the early Cossack period;ІВАН БОГУСЛАВЕЦЬ;дума;;Ніс С.;;"""Яків""";
4.4дод_Dmytrenko, Dovzhenok, Hrytsa_2009_Thoughts of the early Cossack period;РОССКАЗЪ ПРО Й ИВАНА КОЗАКА БОГУСЛАВА;дума;1901-1904 рр.;Мартинович П.;м. Костянтиноград (нині Красноград), Красноградського району Харківської області;Бондаренко М. (Бондаренчиха, Гнатиха);
